2022-10-13 12:19:42,432 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-10-13 12:27:19,822 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2022-10-13 12:27:19,839 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 12:27:19,841 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-13 12:27:52,777 [Worker-28] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2022-10-13 12:27:54,664 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.or.focu:frwk:1.0.0 @ C:\Users\simpl\workspace_kfors\frwk\pom.xml.
2022-10-13 12:27:55,206 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 12:27:57,750 [Worker-28] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /frwk/src/main/java
2022-10-13 12:27:57,751 [Worker-28] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /frwk/src/main/resources
2022-10-13 12:27:57,752 [Worker-28] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /frwk/src/test/java
2022-10-13 12:28:03,370 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 12:28:04,541 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for frwk
2022-10-13 12:28:04,561 [Worker-28] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 11 sec
2022-10-13 12:28:06,728 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 12:28:07,359 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 12:28:07,362 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2022-10-13 12:28:07,482 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 12:28:07,483 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-13 12:28:07,484 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of frwk
2022-10-13 12:28:07,485 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for frwk
2022-10-13 12:28:07,511 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 13:44:02,175 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-10-13 13:44:47,663 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 13:44:48,336 [Worker-8] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for frwk
2022-10-13 13:44:55,145 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 13:44:55,158 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2022-10-13 13:44:55,272 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 13:44:55,274 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-13 13:44:55,275 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of frwk
2022-10-13 13:44:55,278 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for frwk
2022-10-13 13:44:55,534 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 13:54:19,660 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for frwk
2022-10-13 13:54:21,389 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 13:54:21,391 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2022-10-13 13:54:21,520 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 13:54:21,522 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-13 13:54:21,523 [Worker-32] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of frwk
2022-10-13 13:54:21,523 [Worker-32] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for frwk
2022-10-13 13:54:21,554 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:08:14,485 [Worker-39] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2022-10-13 14:08:16,314 [Worker-39] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.or.focu:frwk:1.0.0 @ C:\Users\simpl\workspace_kfors\frwk\pom.xml.
2022-10-13 14:08:16,929 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 14:08:18,057 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 14:08:20,862 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /frwk/src/main/java
2022-10-13 14:08:20,864 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /frwk/src/main/resources
2022-10-13 14:08:20,865 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /frwk/src/test/java
2022-10-13 14:08:22,284 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 14:08:23,195 [Worker-39] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for frwk
2022-10-13 14:08:23,216 [Worker-39] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 8 sec
2022-10-13 14:08:33,620 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 14:08:36,160 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:08:36,163 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2022-10-13 14:08:36,263 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:08:36,265 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-13 14:08:36,266 [Worker-43] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of frwk
2022-10-13 14:08:36,266 [Worker-43] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for frwk
2022-10-13 14:08:36,274 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:15:07,998 [Worker-46] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.or.focu:frwk:1.0.0 @ C:\Users\simpl\workspace_kfors\frwk\pom.xml.
2022-10-13 14:15:08,621 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 14:15:08,740 [Worker-46] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded file://C:\Users\simpl\workspace_kfors\frwk/lib/com/google/code/gson/gson/2.9.1/gson-2.9.1.pom
2022-10-13 14:15:09,520 [Worker-46] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo1.maven.org/maven2/com/google/code/gson/gson/2.9.1/gson-2.9.1.pom
2022-10-13 14:15:09,670 [Worker-46] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven2/com/google/code/gson/gson/2.9.1/gson-2.9.1.pom
2022-10-13 14:15:09,689 [Worker-46] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded file://C:\Users\simpl\workspace_kfors\frwk/lib/com/google/code/gson/gson-parent/2.9.1/gson-parent-2.9.1.pom
2022-10-13 14:15:09,827 [Worker-46] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo1.maven.org/maven2/com/google/code/gson/gson-parent/2.9.1/gson-parent-2.9.1.pom
2022-10-13 14:15:09,970 [Worker-46] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven2/com/google/code/gson/gson-parent/2.9.1/gson-parent-2.9.1.pom
2022-10-13 14:15:10,201 [Worker-46] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded file://C:\Users\simpl\workspace_kfors\frwk/lib/com/google/code/gson/gson/2.9.1/gson-2.9.1.jar
2022-10-13 14:15:10,340 [Worker-46] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo1.maven.org/maven2/com/google/code/gson/gson/2.9.1/gson-2.9.1.jar
2022-10-13 14:15:10,853 [Worker-46] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven2/com/google/code/gson/gson/2.9.1/gson-2.9.1.jar
2022-10-13 14:15:11,561 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 14:15:13,307 [Worker-46] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for frwk
2022-10-13 14:15:17,025 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 14:15:18,445 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:15:18,448 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2022-10-13 14:15:18,591 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:15:18,592 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-13 14:15:18,593 [Worker-48] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of frwk
2022-10-13 14:15:18,593 [Worker-48] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for frwk
2022-10-13 14:15:18,601 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:17:16,468 [Worker-36] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.or.focu:frwk:1.0.0 @ C:\Users\simpl\workspace_kfors\frwk\pom.xml.
2022-10-13 14:17:17,051 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 14:17:18,041 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 14:17:19,837 [Worker-36] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for frwk
2022-10-13 14:17:22,404 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 14:17:23,718 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:17:23,720 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2022-10-13 14:17:23,829 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:17:23,830 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-13 14:17:23,831 [Worker-38] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of frwk
2022-10-13 14:17:23,831 [Worker-38] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for frwk
2022-10-13 14:17:23,838 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:21:01,064 [Worker-47] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for frwk
2022-10-13 14:21:02,692 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:21:02,697 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2022-10-13 14:21:02,789 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:21:02,791 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-13 14:21:02,792 [Worker-43] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of frwk
2022-10-13 14:21:02,792 [Worker-43] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for frwk
2022-10-13 14:21:02,828 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:42:11,511 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-10-13 14:51:16,520 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-13 14:51:17,391 [Worker-14] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for frwk
2022-10-13 14:51:24,633 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:51:24,645 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2022-10-13 14:51:24,753 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-13 14:51:24,755 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-13 14:51:24,756 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of frwk
2022-10-13 14:51:24,758 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for frwk
2022-10-13 14:51:25,024 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-14 17:01:35,411 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-10-17 09:43:06,079 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.tmax.tibero:tibero-jdbc:jar:7.0 is missing, no dependency information available
2022-10-17 09:43:06,879 [Worker-35] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for frwk
2022-10-17 09:43:13,600 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-17 09:43:13,613 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2022-10-17 09:43:13,734 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-17 09:43:13,738 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-17 09:43:13,740 [Worker-39] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of frwk
2022-10-17 09:43:13,754 [Worker-39] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for frwk
2022-10-17 09:43:14,034 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-17 11:23:13,596 [Worker-87] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for frwk
2022-10-17 11:23:16,074 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-17 11:23:16,086 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 16 resources
2022-10-17 11:23:16,206 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-17 11:23:16,208 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-17 11:23:16,208 [Worker-90] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of frwk
2022-10-17 11:23:16,209 [Worker-90] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for frwk
2022-10-17 11:23:16,305 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-17 11:29:39,254 [Worker-91] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for frwk
2022-10-17 11:29:41,039 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-17 11:29:41,042 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 16 resources
2022-10-17 11:29:41,143 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-17 11:29:41,145 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-17 11:29:41,145 [Worker-77] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of frwk
2022-10-17 11:29:41,146 [Worker-77] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for frwk
2022-10-17 11:29:41,175 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-17 11:41:12,737 [Worker-102] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for frwk
2022-10-17 11:41:14,388 [Worker-104] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-17 11:41:14,391 [Worker-104] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 16 resources
2022-10-17 11:41:14,489 [Worker-104] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-17 11:41:14,490 [Worker-104] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\simpl\workspace_kfors\frwk\src\test\resources
2022-10-17 11:41:14,491 [Worker-104] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of frwk
2022-10-17 11:41:14,491 [Worker-104] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for frwk
2022-10-17 11:41:14,500 [Worker-104] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-10-17 14:31:33,598 [Worker-172] WARN  o.e.r.models.ModelRepository - Failed to download org.eclipse.recommenders:index::zip:0.0.0
org.eclipse.aether.resolution.ArtifactResolutionException: Could not find artifact org.eclipse.recommenders:index:zip:0.0.0-SNAPSHOT in models (http://download.eclipse.org/recommenders/models/mars/)
	at org.eclipse.aether.internal.impl.DefaultArtifactResolver.resolve(DefaultArtifactResolver.java:444)
	at org.eclipse.aether.internal.impl.DefaultArtifactResolver.resolveArtifacts(DefaultArtifactResolver.java:246)
	at org.eclipse.aether.internal.impl.DefaultArtifactResolver.resolveArtifact(DefaultArtifactResolver.java:223)
	at org.eclipse.aether.internal.impl.DefaultRepositorySystem.resolveArtifact(DefaultRepositorySystem.java:294)
	at org.eclipse.recommenders.models.ModelRepository.resolveInternal(ModelRepository.java:192)
	at org.eclipse.recommenders.models.ModelRepository.resolve(ModelRepository.java:174)
	at org.eclipse.recommenders.internal.models.rcp.EclipseModelRepository.resolve(EclipseModelRepository.java:165)
	at org.eclipse.recommenders.internal.models.rcp.DownloadModelArchiveJob.run(DownloadModelArchiveJob.java:76)
	at org.eclipse.core.internal.jobs.Worker.run(Worker.java:55)
Caused by: org.eclipse.aether.transfer.ArtifactNotFoundException: Could not find artifact org.eclipse.recommenders:index:zip:0.0.0-SNAPSHOT in models (http://download.eclipse.org/recommenders/models/mars/)
	at org.eclipse.aether.connector.basic.ArtifactTransportListener.transferFailed(ArtifactTransportListener.java:39)
	at org.eclipse.aether.connector.basic.BasicRepositoryConnector$TaskRunner.run(BasicRepositoryConnector.java:355)
	at org.eclipse.aether.util.concurrency.RunnableErrorForwarder$1.run(RunnableErrorForwarder.java:67)
	at org.eclipse.aether.connector.basic.BasicRepositoryConnector$DirectExecutor.execute(BasicRepositoryConnector.java:581)
